gene_id,lascID,geneName,tx_id,tx_name,nexon,tx_len
maker-000076F-est_gff_StringTie-gene-11.1,LASC007513,man2b1_2,15461,maker-000076F-est_gff_StringTie-gene-11.1-mRNA-1,25,3558
maker-000076F-est_gff_StringTie-gene-11.1,LASC007513,man2b1_2,15462,maker-000076F-est_gff_StringTie-gene-11.1-mRNA-2,25,3558
maker-000076F-exonerate_protein2genome-gene-12.0,LASC007514,scd5,15524,maker-000076F-exonerate_protein2genome-gene-12.0-mRNA-1,5,1392
evm-000076F-processed-gene-12.5,LASC007515,pik3r1,15525,evm-000076F-processed-gene-12.5-mRNA-1,18,5439
maker-000076F-est_gff_StringTie-gene-13.0,LASC007516,LASC007516,15463,maker-000076F-est_gff_StringTie-gene-13.0-mRNA-1,2,380
maker-000076F-est_gff_StringTie-gene-13.2,LASC007517,LASC007517,15526,maker-000076F-est_gff_StringTie-gene-13.2-mRNA-1,3,826
maker-000076F-est_gff_StringTie-gene-13.1,LASC007518,LASC007518,15464,maker-000076F-est_gff_StringTie-gene-13.1-mRNA-1,2,371
maker-000076F-est_gff_StringTie-gene-14.1,LASC007519,wsck,15527,maker-000076F-est_gff_StringTie-gene-14.1-mRNA-3,18,3934
maker-000076F-est_gff_StringTie-gene-14.1,LASC007519,wsck,15528,maker-000076F-est_gff_StringTie-gene-14.1-mRNA-2,18,6818
maker-000076F-est_gff_StringTie-gene-14.1,LASC007519,wsck,15529,maker-000076F-est_gff_StringTie-gene-14.1-mRNA-4,17,6779
maker-000076F-est_gff_StringTie-gene-14.1,LASC007519,wsck,15530,maker-000076F-est_gff_StringTie-gene-14.1-mRNA-1,19,6695
maker-000076F-est_gff_StringTie-gene-14.1,LASC007519,wsck,15531,maker-000076F-est_gff_StringTie-gene-14.1-mRNA-5,12,1805
maker-000076F-est_gff_StringTie-gene-14.0,LASC007520,LASC007520,15465,maker-000076F-est_gff_StringTie-gene-14.0-mRNA-1,2,236
maker-000076F-est_gff_StringTie-gene-15.0,LASC007521,cg3556_20,15532,maker-000076F-est_gff_StringTie-gene-15.0-mRNA-2,10,2011
maker-000076F-est_gff_StringTie-gene-15.0,LASC007521,cg3556_20,15533,maker-000076F-est_gff_StringTie-gene-15.0-mRNA-5,9,1879
maker-000076F-est_gff_StringTie-gene-15.0,LASC007521,cg3556_20,15534,maker-000076F-est_gff_StringTie-gene-15.0-mRNA-3,10,1830
maker-000076F-est_gff_StringTie-gene-15.0,LASC007521,cg3556_20,15535,maker-000076F-est_gff_StringTie-gene-15.0-mRNA-6,9,1698
maker-000076F-est_gff_StringTie-gene-15.0,LASC007521,cg3556_20,15536,maker-000076F-est_gff_StringTie-gene-15.0-mRNA-1,11,1974
maker-000076F-est_gff_StringTie-gene-15.0,LASC007521,cg3556_20,15537,maker-000076F-est_gff_StringTie-gene-15.0-mRNA-4,10,1762
maker-000076F-est_gff_StringTie-gene-15.0,LASC007521,cg3556_20,15538,maker-000076F-est_gff_StringTie-gene-15.0-mRNA-7,9,1529
maker-000076F-est_gff_StringTie-gene-15.1,LASC007522,cg3556_vldlr,15539,maker-000076F-est_gff_StringTie-gene-15.1-mRNA-1,11,2124
maker-000076F-est_gff_StringTie-gene-15.1,LASC007522,cg3556_vldlr,15540,maker-000076F-est_gff_StringTie-gene-15.1-mRNA-2,10,2008
maker-000076F-est_gff_StringTie-gene-15.1,LASC007522,cg3556_vldlr,15541,maker-000076F-est_gff_StringTie-gene-15.1-mRNA-3,10,1683
maker-000076F-est_gff_StringTie-gene-15.1,LASC007522,cg3556_vldlr,15542,maker-000076F-est_gff_StringTie-gene-15.1-mRNA-4,8,1525
maker-000076F-est_gff_StringTie-gene-16.1,LASC007523,cg3556_9,15466,maker-000076F-est_gff_StringTie-gene-16.1-mRNA-3,10,2075
maker-000076F-est_gff_StringTie-gene-16.1,LASC007523,cg3556_9,15467,maker-000076F-est_gff_StringTie-gene-16.1-mRNA-5,9,1943
maker-000076F-est_gff_StringTie-gene-16.1,LASC007523,cg3556_9,15468,maker-000076F-est_gff_StringTie-gene-16.1-mRNA-1,11,2460
maker-000076F-est_gff_StringTie-gene-16.1,LASC007523,cg3556_9,15469,maker-000076F-est_gff_StringTie-gene-16.1-mRNA-2,10,2494
maker-000076F-est_gff_StringTie-gene-16.1,LASC007523,cg3556_9,15470,maker-000076F-est_gff_StringTie-gene-16.1-mRNA-4,9,2694
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15471,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-5,11,1920
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15472,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-9,10,2113
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15473,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-1,11,2154
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15474,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-2,11,2154
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15475,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-3,11,2154
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15476,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-7,10,2154
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15477,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-8,10,2154
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15478,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-4,11,2118
maker-000076F-est_gff_StringTie-gene-16.2,LASC007524,cg3556_5,15479,maker-000076F-est_gff_StringTie-gene-16.2-mRNA-6,10,2159
maker-000076F-est_gff_StringTie-gene-16.4,LASC007525,LASC007525,15543,maker-000076F-est_gff_StringTie-gene-16.4-mRNA-1,2,3188
maker-000076F-est_gff_StringTie-gene-16.5,LASC007526,ngdn-b_ngdn-a,15544,maker-000076F-est_gff_StringTie-gene-16.5-mRNA-1,14,1321
maker-000076F-est_gff_StringTie-gene-16.5,LASC007526,ngdn-b_ngdn-a,15545,maker-000076F-est_gff_StringTie-gene-16.5-mRNA-3,13,1291
maker-000076F-est_gff_StringTie-gene-16.5,LASC007526,ngdn-b_ngdn-a,15546,maker-000076F-est_gff_StringTie-gene-16.5-mRNA-2,13,1434
maker-000076F-augustus-gene-16.18,LASC007527,emc4,15480,maker-000076F-augustus-gene-16.18-mRNA-1,6,1207
maker-000076F-augustus-gene-16.18,LASC007527,emc4,15481,maker-000076F-augustus-gene-16.18-mRNA-2,5,6963
maker-000076F-est_gff_StringTie-gene-17.0,LASC007528,LASC007528,15547,maker-000076F-est_gff_StringTie-gene-17.0-mRNA-1,4,881
maker-000076F-est_gff_StringTie-gene-17.0,LASC007528,LASC007528,15548,maker-000076F-est_gff_StringTie-gene-17.0-mRNA-3,3,637
maker-000076F-est_gff_StringTie-gene-17.0,LASC007528,LASC007528,15549,maker-000076F-est_gff_StringTie-gene-17.0-mRNA-2,3,656
maker-000076F-augustus-gene-18.0,LASC007529,LASC007529,15482,maker-000076F-augustus-gene-18.0-mRNA-1,2,510
maker-000076F-est_gff_StringTie-gene-18.0,LASC007530,runx1t1,15483,maker-000076F-est_gff_StringTie-gene-18.0-mRNA-1,11,6334
maker-000076F-est_gff_StringTie-gene-18.0,LASC007530,runx1t1,15484,maker-000076F-est_gff_StringTie-gene-18.0-mRNA-2,10,6608
maker-000076F-est_gff_StringTie-gene-18.0,LASC007530,runx1t1,15485,maker-000076F-est_gff_StringTie-gene-18.0-mRNA-4,10,6110
maker-000076F-est_gff_StringTie-gene-18.0,LASC007530,runx1t1,15486,maker-000076F-est_gff_StringTie-gene-18.0-mRNA-6,10,5971
maker-000076F-est_gff_StringTie-gene-18.0,LASC007530,runx1t1,15487,maker-000076F-est_gff_StringTie-gene-18.0-mRNA-3,10,6207
maker-000076F-est_gff_StringTie-gene-18.0,LASC007530,runx1t1,15488,maker-000076F-est_gff_StringTie-gene-18.0-mRNA-5,10,6078
maker-000076F-est_gff_StringTie-gene-19.0,LASC007531,ush,15489,maker-000076F-est_gff_StringTie-gene-19.0-mRNA-1,10,5765
augustus_masked-000076F-processed-gene-21.1,LASC007532,LASC007532,15490,augustus_masked-000076F-processed-gene-21.1-mRNA-1,1,579
augustus_masked-000076F-processed-gene-21.2,LASC007533,LASC007533,15491,augustus_masked-000076F-processed-gene-21.2-mRNA-1,1,552
augustus_masked-000076F-processed-gene-21.3,LASC007534,LASC007534,15492,augustus_masked-000076F-processed-gene-21.3-mRNA-1,1,465
augustus_masked-000076F-processed-gene-21.7,LASC007535,LASC007535,15550,augustus_masked-000076F-processed-gene-21.7-mRNA-1,1,426
augustus_masked-000076F-processed-gene-21.8,LASC007536,LASC007536,15551,augustus_masked-000076F-processed-gene-21.8-mRNA-1,1,465
augustus_masked-000076F-processed-gene-21.9,LASC007537,LASC007537,15552,augustus_masked-000076F-processed-gene-21.9-mRNA-1,1,486
augustus_masked-000076F-processed-gene-21.4,LASC007538,LASC007538,15493,augustus_masked-000076F-processed-gene-21.4-mRNA-1,1,465
augustus_masked-000076F-processed-gene-22.5,LASC007539,LASC007539,15553,augustus_masked-000076F-processed-gene-22.5-mRNA-1,1,495
augustus_masked-000076F-processed-gene-22.3,LASC007540,LASC007540,15494,augustus_masked-000076F-processed-gene-22.3-mRNA-1,1,978
augustus_masked-000076F-processed-gene-22.4,LASC007541,LASC007541,15495,augustus_masked-000076F-processed-gene-22.4-mRNA-1,1,495
augustus_masked-000076F-processed-gene-22.6,LASC007542,LASC007542,15554,augustus_masked-000076F-processed-gene-22.6-mRNA-1,1,522
augustus_masked-000076F-processed-gene-22.12,LASC007543,LASC007543,15555,augustus_masked-000076F-processed-gene-22.12-mRNA-1,1,582
augustus_masked-000076F-processed-gene-22.8,LASC007544,LASC007544,15496,augustus_masked-000076F-processed-gene-22.8-mRNA-1,1,594
maker-000076F-est_gff_StringTie-gene-22.0,LASC007545,LASC007545,15497,maker-000076F-est_gff_StringTie-gene-22.0-mRNA-1,2,753
augustus_masked-000076F-processed-gene-22.10,LASC007546,LASC007546,15498,augustus_masked-000076F-processed-gene-22.10-mRNA-1,1,582
augustus_masked-000076F-processed-gene-22.13,LASC007547,LASC007547,15556,augustus_masked-000076F-processed-gene-22.13-mRNA-1,1,426
augustus_masked-000076F-processed-gene-22.14,LASC007548,LASC007548,15557,augustus_masked-000076F-processed-gene-22.14-mRNA-1,1,549
maker-000076F-est_gff_StringTie-gene-24.0,LASC007549,trhr,15499,maker-000076F-est_gff_StringTie-gene-24.0-mRNA-2,3,2957
maker-000076F-est_gff_StringTie-gene-24.0,LASC007549,trhr,15500,maker-000076F-est_gff_StringTie-gene-24.0-mRNA-3,3,1931
maker-000076F-est_gff_StringTie-gene-24.0,LASC007549,trhr,15501,maker-000076F-est_gff_StringTie-gene-24.0-mRNA-1,4,4925
maker-000076F-est_gff_StringTie-gene-26.1,LASC007550,LASC007550,15558,maker-000076F-est_gff_StringTie-gene-26.1-mRNA-1,2,289
maker-000076F-est_gff_StringTie-gene-26.0,LASC007551,LASC007551,15502,maker-000076F-est_gff_StringTie-gene-26.0-mRNA-1,2,1326
augustus_masked-000076F-processed-gene-28.5,LASC007552,chrac1_2,15503,augustus_masked-000076F-processed-gene-28.5-mRNA-1,1,291
maker-000076F-est_gff_StringTie-gene-27.0,LASC007553,LASC007553,15559,maker-000076F-est_gff_StringTie-gene-27.0-mRNA-1,5,1447
maker-000076F-est_gff_StringTie-gene-27.0,LASC007553,LASC007553,15560,maker-000076F-est_gff_StringTie-gene-27.0-mRNA-2,4,1355
maker-000076F-est_gff_StringTie-gene-27.0,LASC007553,LASC007553,15561,maker-000076F-est_gff_StringTie-gene-27.0-mRNA-3,3,1904
maker-000076F-est_gff_StringTie-gene-27.0,LASC007553,LASC007553,15562,maker-000076F-est_gff_StringTie-gene-27.0-mRNA-4,2,1530
maker-000076F-exonerate_protein2genome-gene-28.5,LASC007554,slc7a6_slc7a8_slc7a5p1,15504,maker-000076F-exonerate_protein2genome-gene-28.5-mRNA-1,11,4011
maker-000076F-exonerate_protein2genome-gene-28.5,LASC007554,slc7a6_slc7a8_slc7a5p1,15505,maker-000076F-exonerate_protein2genome-gene-28.5-mRNA-2,11,3993
maker-000076F-exonerate_protein2genome-gene-28.5,LASC007554,slc7a6_slc7a8_slc7a5p1,15506,maker-000076F-exonerate_protein2genome-gene-28.5-mRNA-4,8,1412
maker-000076F-exonerate_protein2genome-gene-28.5,LASC007554,slc7a6_slc7a8_slc7a5p1,15507,maker-000076F-exonerate_protein2genome-gene-28.5-mRNA-3,9,1535
maker-000076F-exonerate_protein2genome-gene-28.5,LASC007554,slc7a6_slc7a8_slc7a5p1,15508,maker-000076F-exonerate_protein2genome-gene-28.5-mRNA-5,8,1370
maker-000076F-exonerate_protein2genome-gene-28.5,LASC007554,slc7a6_slc7a8_slc7a5p1,15509,maker-000076F-exonerate_protein2genome-gene-28.5-mRNA-6,1,459
evm-000076F-processed-gene-28.21,LASC007555,slc7a8,15510,evm-000076F-processed-gene-28.21-mRNA-1,10,2939
maker-000076F-est_gff_StringTie-gene-28.2,LASC007556,LASC007556,15563,maker-000076F-est_gff_StringTie-gene-28.2-mRNA-1,5,4821
maker-000076F-est_gff_StringTie-gene-28.2,LASC007556,LASC007556,15564,maker-000076F-est_gff_StringTie-gene-28.2-mRNA-2,4,4874
maker-000076F-exonerate_protein2genome-gene-28.6,LASC007557,mthfsd,15565,maker-000076F-exonerate_protein2genome-gene-28.6-mRNA-1,5,7035
maker-000076F-est_gff_StringTie-gene-28.4,LASC007558,LASC007558,15566,maker-000076F-est_gff_StringTie-gene-28.4-mRNA-1,2,2170
maker-000076F-est_gff_StringTie-gene-28.4,LASC007558,LASC007558,15567,maker-000076F-est_gff_StringTie-gene-28.4-mRNA-2,2,1760
maker-000076F-est_gff_StringTie-gene-29.1,LASC007559,cpa2_3,15568,maker-000076F-est_gff_StringTie-gene-29.1-mRNA-5,3,1494
maker-000076F-est_gff_StringTie-gene-29.1,LASC007559,cpa2_3,15569,maker-000076F-est_gff_StringTie-gene-29.1-mRNA-6,2,2103
maker-000076F-est_gff_StringTie-gene-29.1,LASC007559,cpa2_3,15570,maker-000076F-est_gff_StringTie-gene-29.1-mRNA-1,12,2798
maker-000076F-est_gff_StringTie-gene-29.1,LASC007559,cpa2_3,15571,maker-000076F-est_gff_StringTie-gene-29.1-mRNA-4,4,1028
maker-000076F-est_gff_StringTie-gene-29.1,LASC007559,cpa2_3,15572,maker-000076F-est_gff_StringTie-gene-29.1-mRNA-2,11,1538
maker-000076F-est_gff_StringTie-gene-29.1,LASC007559,cpa2_3,15573,maker-000076F-est_gff_StringTie-gene-29.1-mRNA-3,11,1387
maker-000076F-exonerate_protein2genome-gene-29.4,LASC007560,dusp3,15574,maker-000076F-exonerate_protein2genome-gene-29.4-mRNA-2,2,5994
maker-000076F-exonerate_protein2genome-gene-29.4,LASC007560,dusp3,15575,maker-000076F-exonerate_protein2genome-gene-29.4-mRNA-1,4,6358
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15576,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-6,15,1788
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15577,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-1,15,3125
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15578,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-4,15,1879
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15579,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-5,15,1877
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15580,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-8,14,1793
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15581,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-3,15,2103
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15582,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-7,14,4849
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15583,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-9,13,6001
maker-000076F-est_gff_StringTie-gene-29.3,LASC007561,pigu,15584,maker-000076F-est_gff_StringTie-gene-29.3-mRNA-2,15,3101
maker-000076F-est_gff_StringTie-gene-29.0,LASC007562,hsf4,15511,maker-000076F-est_gff_StringTie-gene-29.0-mRNA-1,10,3643
maker-000076F-est_gff_StringTie-gene-29.0,LASC007562,hsf4,15512,maker-000076F-est_gff_StringTie-gene-29.0-mRNA-2,7,5579
maker-000076F-est_gff_StringTie-gene-30.0,LASC007563,LASC007563,15513,maker-000076F-est_gff_StringTie-gene-30.0-mRNA-1,2,1700
maker-000076F-exonerate_protein2genome-gene-30.13,LASC007564,LASC007564,15514,maker-000076F-exonerate_protein2genome-gene-30.13-mRNA-1,4,987
maker-000076F-exonerate_protein2genome-gene-30.13,LASC007564,LASC007564,15515,maker-000076F-exonerate_protein2genome-gene-30.13-mRNA-2,1,204
augustus_masked-000076F-processed-gene-30.34,LASC007565,znf112_4,15585,augustus_masked-000076F-processed-gene-30.34-mRNA-1,1,3225
maker-000076F-exonerate_protein2genome-gene-30.15,LASC007566,scsalpha1_os07g0577700,15586,maker-000076F-exonerate_protein2genome-gene-30.15-mRNA-1,8,1856
maker-000076F-exonerate_protein2genome-gene-30.15,LASC007566,scsalpha1_os07g0577700,15587,maker-000076F-exonerate_protein2genome-gene-30.15-mRNA-2,8,1844
maker-000076F-exonerate_protein2genome-gene-30.15,LASC007566,scsalpha1_os07g0577700,15588,maker-000076F-exonerate_protein2genome-gene-30.15-mRNA-3,7,1638
maker-000076F-est_gff_StringTie-gene-30.3,LASC007567,LASC007567,15589,maker-000076F-est_gff_StringTie-gene-30.3-mRNA-1,3,448
maker-000076F-augustus-gene-30.4,LASC007568,LASC007568,15590,maker-000076F-augustus-gene-30.4-mRNA-1,3,609
maker-000076F-augustus-gene-30.5,LASC007569,LASC007569,15591,maker-000076F-augustus-gene-30.5-mRNA-1,3,627
maker-000076F-augustus-gene-30.6,LASC007570,LASC007570,15592,maker-000076F-augustus-gene-30.6-mRNA-1,3,612
augustus_masked-000076F-processed-gene-30.42,LASC007571,LASC007571,15593,augustus_masked-000076F-processed-gene-30.42-mRNA-1,3,652
maker-000076F-augustus-gene-30.8,LASC007572,LASC007572,15594,maker-000076F-augustus-gene-30.8-mRNA-1,3,843
maker-000076F-est_gff_StringTie-gene-30.6,LASC007573,LASC007573,15595,maker-000076F-est_gff_StringTie-gene-30.6-mRNA-1,3,306
maker-000076F-est_gff_StringTie-gene-30.7,LASC007574,LASC007574,15596,maker-000076F-est_gff_StringTie-gene-30.7-mRNA-1,3,328
maker-000076F-augustus-gene-30.11,LASC007575,LASC007575,15597,maker-000076F-augustus-gene-30.11-mRNA-1,3,627
augustus_masked-000076F-processed-gene-30.47,LASC007576,LASC007576,15598,augustus_masked-000076F-processed-gene-30.47-mRNA-1,3,627
maker-000076F-est_gff_StringTie-gene-30.8,LASC007577,LASC007577,15599,maker-000076F-est_gff_StringTie-gene-30.8-mRNA-1,3,817
